Model	AUPR	TPR	FPR
CNN_relu	0.914+/-0.001	0.906+/-0.044	0.000+/-0.000
CNN_exponential	0.904+/-0.001	0.844+/-0.051	0.021+/-0.015
CNN_ATT_relu	0.917+/-0.005	0.917+/-0.039	0.010+/-0.015
CNN_ATT_exponential	0.909+/-0.001	0.771+/-0.039	0.042+/-0.015
CNN_LSTM_ATT_relu	0.905+/-0.003	0.865+/-0.015	0.021+/-0.015
CNN_LSTM_ATT_exponential	0.910+/-0.006	0.677+/-0.015	0.010+/-0.015
CNN_LSTM_TRANS1_relu	0.899+/-0.001	0.896+/-0.015	0.010+/-0.015
CNN_LSTM_TRANS1_exponential	0.921+/-0.002	0.729+/-0.053	0.000+/-0.000
CNN_LSTM_TRANS2_relu	0.863+/-0.004	0.833+/-0.078	0.042+/-0.039
CNN_LSTM_TRANS2_exponential	0.908+/-0.014	0.625+/-0.068	0.031+/-0.026
CNN_LSTM_TRANS4_relu	0.642+/-0.032	0.729+/-0.029	0.094+/-0.026
CNN_LSTM_TRANS4_exponential	0.843+/-0.022	0.625+/-0.000	0.031+/-0.026
CNN2_relu	0.893+/-0.002	0.396+/-0.053	0.094+/-0.051
CNN2_exponential	0.919+/-0.001	0.844+/-0.026	0.000+/-0.000
CNN2_ATT_relu	0.900+/-0.001	0.458+/-0.064	0.115+/-0.064
CNN2_ATT_exponential	0.925+/-0.001	0.917+/-0.039	0.000+/-0.000
CNN2_LSTM_ATT_relu	0.901+/-0.000	0.385+/-0.074	0.062+/-0.026
CNN2_LSTM_ATT_exponential	0.927+/-0.001	0.833+/-0.015	0.000+/-0.000
CNN2_LSTM_TRANS1_relu	0.896+/-0.001	0.344+/-0.026	0.042+/-0.015
CNN2_LSTM_TRANS1_exponential	0.926+/-0.001	0.938+/-0.044	0.000+/-0.000
CNN2_LSTM_TRANS2_relu	0.896+/-0.004	0.448+/-0.064	0.094+/-0.026
CNN2_LSTM_TRANS2_exponential	0.903+/-0.013	0.844+/-0.068	0.000+/-0.000
CNN2_LSTM_TRANS4_relu	0.737+/-0.023	0.427+/-0.078	0.052+/-0.029
CNN2_LSTM_TRANS4_exponential	0.800+/-0.002	0.708+/-0.082	0.010+/-0.015
CNN_LSTM2_relu	0.883+/-0.001	0.323+/-0.082	0.156+/-0.026
CNN_LSTM2_exponential	0.908+/-0.001	0.802+/-0.039	0.031+/-0.026
CNN_LSTM2_ATT_relu	0.899+/-0.000	0.312+/-0.077	0.125+/-0.088
CNN_LSTM2_ATT_exponential	0.921+/-0.001	0.854+/-0.029	0.031+/-0.026
CNN_LSTM2_TRANS1_relu	0.896+/-0.002	0.302+/-0.039	0.073+/-0.015
CNN_LSTM2_TRANS1_exponential	0.910+/-0.017	0.771+/-0.064	0.010+/-0.015
CNN_LSTM2_TRANS2_relu	0.900+/-0.001	0.375+/-0.068	0.042+/-0.015
CNN_LSTM2_TRANS2_exponential	0.911+/-0.016	0.771+/-0.039	0.021+/-0.029
CNN_LSTM2_TRANS4_relu	0.769+/-0.029	0.365+/-0.090	0.083+/-0.029
CNN_LSTM2_TRANS4_exponential	0.760+/-0.064	0.677+/-0.078	0.000+/-0.000
