Model	AUC	AUROC	AUPR	SNR
CNN_relu	0.964+/-0.964	0.810+/-0.810	0.635+/-0.635	1.071+/-1.071
CNN_exponential	0.975+/-0.975	0.854+/-0.854	0.767+/-0.767	1.971+/-1.971
CNN_ATT_relu	0.968+/-0.968	0.824+/-0.824	0.689+/-0.689	1.310+/-1.310
CNN_ATT_exponential	0.970+/-0.970	0.780+/-0.780	0.641+/-0.641	1.660+/-1.660
CNN_LSTM_ATT_relu	0.968+/-0.968	0.805+/-0.805	0.660+/-0.660	1.120+/-1.120
CNN_LSTM_ATT_exponential	0.981+/-0.981	0.804+/-0.804	0.678+/-0.678	1.757+/-1.757
CNN_LSTM_TRANS1_relu	0.972+/-0.972	0.819+/-0.819	0.690+/-0.690	1.335+/-1.335
CNN_LSTM_TRANS1_exponential	0.978+/-0.978	0.762+/-0.762	0.622+/-0.622	1.500+/-1.500
CNN_LSTM_TRANS2_relu	0.971+/-0.971	0.822+/-0.822	0.700+/-0.700	1.427+/-1.427
CNN_LSTM_TRANS2_exponential	0.979+/-0.979	0.770+/-0.770	0.626+/-0.626	1.527+/-1.527
CNN_LSTM_TRANS4_relu	0.969+/-0.969	0.819+/-0.819	0.692+/-0.692	1.327+/-1.327
CNN_LSTM_TRANS4_exponential	0.980+/-0.980	0.783+/-0.783	0.636+/-0.636	1.519+/-1.519
CNN2_relu	0.951+/-0.951	0.660+/-0.660	0.478+/-0.478	0.441+/-0.441
CNN2_exponential	0.981+/-0.981	0.874+/-0.874	0.801+/-0.801	2.881+/-2.881
CNN2_ATT_relu	0.955+/-0.955	0.676+/-0.676	0.501+/-0.501	0.488+/-0.488
CNN2_ATT_exponential	0.983+/-0.983	0.854+/-0.854	0.749+/-0.749	2.258+/-2.258
CNN2_LSTM_ATT_relu	0.957+/-0.957	0.673+/-0.673	0.490+/-0.490	0.463+/-0.463
CNN2_LSTM_ATT_exponential	0.983+/-0.983	0.840+/-0.840	0.728+/-0.728	2.220+/-2.220
CNN2_LSTM_TRANS1_relu	0.958+/-0.958	0.689+/-0.689	0.510+/-0.510	0.544+/-0.544
CNN2_LSTM_TRANS1_exponential	0.984+/-0.984	0.850+/-0.850	0.748+/-0.748	2.471+/-2.471
CNN2_LSTM_TRANS2_relu	0.959+/-0.959	0.656+/-0.656	0.472+/-0.472	0.383+/-0.383
CNN2_LSTM_TRANS2_exponential	0.984+/-0.984	0.852+/-0.852	0.752+/-0.752	2.538+/-2.538
CNN2_LSTM_TRANS4_relu	0.958+/-0.958	0.665+/-0.665	0.483+/-0.483	0.435+/-0.435
CNN2_LSTM_TRANS4_exponential	0.984+/-0.984	0.848+/-0.848	0.738+/-0.738	2.290+/-2.290
CNN_LSTM2_relu	0.964+/-0.964	0.711+/-0.711	0.562+/-0.562	0.822+/-0.822
CNN_LSTM2_exponential	0.979+/-0.979	0.808+/-0.808	0.678+/-0.678	1.591+/-1.591
CNN_LSTM2_ATT_relu	0.967+/-0.967	0.706+/-0.706	0.567+/-0.567	0.855+/-0.855
CNN_LSTM2_ATT_exponential	0.978+/-0.978	0.786+/-0.786	0.654+/-0.654	1.526+/-1.526
CNN_LSTM2_TRANS1_relu	0.969+/-0.969	0.716+/-0.716	0.569+/-0.569	0.884+/-0.884
CNN_LSTM2_TRANS1_exponential	0.980+/-0.980	0.780+/-0.780	0.629+/-0.629	1.414+/-1.414
CNN_LSTM2_TRANS2_relu	0.968+/-0.968	0.732+/-0.732	0.582+/-0.582	0.931+/-0.931
CNN_LSTM2_TRANS2_exponential	0.980+/-0.980	0.805+/-0.805	0.666+/-0.666	1.678+/-1.678
CNN_LSTM2_TRANS4_relu	0.969+/-0.969	0.717+/-0.717	0.570+/-0.570	0.892+/-0.892
CNN_LSTM2_TRANS4_exponential	0.979+/-0.979	0.794+/-0.794	0.646+/-0.646	1.507+/-1.507
